CUDA extension not installed.
Starting ...
59 self_attn.v_proj
Quantizing ...
time 1.80
error 282739.84375
59 self_attn.q_proj
Quantizing ...
time 1.81
error 304872.28125
59 self_attn.o_proj
Quantizing ...
time 2.37
error 44391.4296875
59 mlp.up_proj
Quantizing ...
time 2.54
error 1135140.5
59 mlp.gate_proj
Quantizing ...
time 1.86
error 1222904.25
59 mlp.down_proj
Quantizing ...
time 7.72
error 977586.5
2768.499888896942
wikitext2
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
11.416688919067383
ptb-new
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
76.88017272949219
c4-new
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
13.536097526550293
